景区名称,地区,景区等级,经度,纬度,
窦店清真寺,北京,2A,116.0723381,39.6441759,
北京首创奥莱休闲驿站景区,北京,3A,116.194065,39.76917206,
仙栖洞景区,北京,3A,115.7557573,39.66531004,
中华石雕艺术园,北京,2A,115.8287818,39.55630375,
银狐洞,北京,2A,115.910029,39.8043181,
北京韩美林艺术馆,北京,4A,116.6834787,39.88148493,
通州大运河森林旅游区,北京,4A,116.748887,39.88240008,
中国民兵武器装备陈列馆,北京,3A,116.6768005,39.94362401,
通州运河公园,北京,3A,116.6949342,39.91401939,
北京奥林匹克水上公园,北京,4A,116.3992058,39.99924492,
北京焦庄户地道战遗址纪念馆,北京,3A,116.8764611,40.24016882,
北京顺鑫中盛会议中心,北京,3A,116.7495302,40.08494182,
北京顺义国际鲜花港,北京,4A,116.8035636,40.1876885,
北京河北村民俗文化有限公司,北京,3A,116.7352556,40.13735536,
北京顺义汉石桥湿地景区,北京,3A,116.816552,40.13014,
意大利农场,北京,3A,116.63918,40.17058904,
蟒山国家森林公园,北京,3A,116.299772,40.27075502,
北京十三陵双龙山森林公园,北京,2A,116.172305,40.35107904,
乐多港假日广场,北京,4A,116.196534,40.23888865,
小汤山现代农业示范园区,北京,4A,116.4301173,40.16624801,
龙脉温泉度假村,北京,4A,116.405984,40.18731507,
十三陵,北京,5A,116.231846,40.26354398,
银山塔林风景区,北京,4A,116.335109,40.320998,
温都水城,北京,4A,116.377017,40.11026409,
敕赐和平寺景区,北京,2A,116.0715396,40.22946488,
天池风景区,北京,2A,116.299803,40.27240306,
艺麓园,北京,3A,116.154216,40.24883301,
静之湖度假区,北京,3A,116.44746,40.24766301,
中国航空博物馆,北京,4A,116.372885,40.19209504,
虎峪自然风景区,北京,2A,116.1134175,40.33126151,
居庸关长城,北京,4A,116.0791594,40.29697172,
大岭沟猕猴桃谷风景区,北京,2A,116.231487,40.37510501,
北京后花园风景区,北京,2A,116.104689,40.13312802,
北京草莓博览园,北京,3A,116.4126729,40.20832113,
中国北方国际射击场,北京,3A,116.1089989,40.24450123,
北京南海子麋鹿苑博物馆,北京,3A,116.4651419,39.78459282,
绿野晴川野生动物园,北京,4A,116.3421973,39.50245469,
留民营生态农场,北京,3A,116.5811419,39.7004723,
中华文化园,北京,3A,116.300943,39.7894692,
中国印刷博物馆,北京,3A,116.33823,39.74899309,
长力金源（北京）热带植物园,北京,3A,116.6001778,39.66474808,
慕田峪长城,北京,5A,116.5716113,40.43744204,
百泉山风景区,北京,2A,116.6445403,40.4876334,
北京市青龙峡旅游度假有限责任公司,北京,4A,116.689259,40.46787098,
云梦仙境景区,北京,3A,116.7013919,40.62617969,
北京九谷口自然风景区,北京,3A,116.668525,40.45037905,
北京二锅头酒博物馆,北京,3A,116.6715729,40.33208754,
红螺寺,北京,4A,116.632411,40.39045402,
北京黄花城水长城旅游区,北京,4A,116.3071674,40.41928678,
生存岛新概念旅游基地,北京,3A,116.647749,40.37125101,
幽谷神潭自然风景区,北京,3A,116.6847463,40.53755962,
北京喇叭沟原始森林公园,北京,3A,116.4957114,40.96573675,
石门山景区,北京,3A,116.669401,40.49147801,
星美今晟影视城景区,北京,3A,116.6765793,40.29928047,
鹿世界主题园景区,北京,2A,116.708342,40.30061801,
北京圣泉山旅游风景区,北京,3A,116.577581,40.37004502,
北京鹅和鸭农庄风景区,北京,3A,116.564865,40.33762914,
神堂峪自然风景区,北京,2A,116.6199596,40.44553642,
响水湖旅游区,北京,3A,116.49528,40.47287005,
雁栖湖旅游区,北京,4A,116.6735741,40.39868287,
老象峰旅游区,北京,2A,117.023155,40.31832301,
北京老泉樱花园景区,北京,2A,117.1434508,40.31759982,
京东大峡谷旅游区,北京,4A,117.176848,40.25114307,
金海湖风景区,北京,4A,117.310896,40.18734807,
德双睿景区,北京,1A,116.4024527,39.90433862,
北京京东石林峡景区服务管理有限公司,北京,4A,117.2485101,40.26879411,
北京丛海逸园景区,北京,2A,117.0334791,40.26297305,
北京胜泉亲水湾旅游景区,北京,1A,117.1070736,40.30368947,
北京渔阳国际滑雪场景区,北京,4A,117.154293,40.08589998,
京东老泉山野公园,北京,2A,117.1404282,40.30555066,
挂甲峪旅游度假区,北京,1A,117.116904,40.26460304,
北京丫髻山道教文化名胜区,北京,4A,116.9885986,40.27081234,
湖洞水景区,北京,2A,117.261254,40.27799597,
紫海香堤香草艺术庄园,北京,2A,117.2191559,40.65895255,
云峰山自然风景区,北京,3A,116.956173,40.59306801,
捧河湾自然风景区,北京,3A,116.820405,40.62038303,
云蒙山森林公园,北京,3A,116.737547,40.60093099,
京都第一瀑景区,北京,2A,116.7917981,40.59860172,
司马台长城景区,北京,4A,117.292856,40.66364899,
桃源仙谷自然风景区,北京,3A,116.800628,40.54747601,
北京古御道生态旅游开发有限公司,北京,3A,115.7236289,39.5861574,
北京邑仕庄园国际酒庄有限公司,北京,3A,117.055184,40.49205303,
云岫谷游猎自然风景区,北京,2A,117.3901864,40.60673429,
清凉谷旅游风景区,北京,3A,116.760289,40.639792,
云蒙三峪自然风景区,北京,2A,116.732418,40.49633802,
北京力维斯白龙潭景区,北京,3A,117.0772617,40.50102266,
古北口文化文物旅游区,北京,2A,117.1721769,40.68976132,
北京首云铁矿公园,北京,3A,117.0203045,40.38541964,
仙居谷风景区,北京,4A,117.244405,40.59496798,
北京云蒙山长城遗址公园,北京,2A,116.8231109,40.54310015,
玫瑰情园旅游景区,北京,3A,116.911699,40.35674002,
伊利集团北京乳品厂,北京,2A,116.809804,40.3552869,
北京张裕爱菲堡国际酒庄,北京,4A,116.908452,40.38194305,
雾灵西峰景区,北京,3A,117.368983,40.64022203,
北京天门山旅游风景区,北京,2A,116.794476,40.59804398,
冶仙塔景区,北京,3A,116.873389,40.40771802,
密云云龙涧景区,北京,3A,116.792416,40.49497202,
黑龙潭旅游区,北京,4A,116.7937368,40.56935487,
八达岭滑雪俱乐部,北京,3A,115.964369,40.35290304,
阳光时代马球俱乐部,北京,3A,115.865356,40.40725915,
龙庆峡旅游区,北京,4A,116.0099275,40.55776529,
八达岭古长城,北京,3A,115.984126,40.34463405,
野鸭湖国家湿地公园,北京,4A,115.864188,40.41667202,
八达岭水关长城景区,北京,4A,116.024067,40.36263905,
北京八达岭世界葡萄博览中心,北京,4A,115.879672,40.47152305,
古崖居原始部落旅游度假区,北京,3A,115.7819635,40.46910409,
八达岭长城风景名胜区,北京,5A,116.024067,40.36263905,
万科石京龙滑雪场,北京,3A,115.976121,40.53123201,
延庆百里山水画廊景区,北京,4A,116.3262415,40.70653031,
玉渡山风景区,北京,2A,115.895804,40.55825998,
北京八达岭野生动物世界有限公司,北京,3A,116.0034458,40.35697149,
松山森林旅游区,北京,4A,115.836964,40.51528902,
北京市东城区青年湖公园,北京,3A,116.408933,39.96127705,
前门大街景区,北京,3A,116.404588,39.90552399,
孔庙和国子监博物馆,北京,4A,116.4202669,39.95288,
天坛公园,北京,5A,116.417246,39.88824296,
京城百工坊,北京,2A,116.4409682,39.88933532,
中山公园,北京,4A,116.400582,39.9167023,
北京市劳动人民文化宫,北京,2A,116.406326,39.91710911,
明城墙遗址公园,北京,4A,116.4345453,39.90720947,
地坛公园,北京,4A,116.4213582,39.95990303,
故宫博物院,北京,5A,116.4034139,39.92409137,
南新仓文化休闲街景区,北京,3A,116.4375399,39.93781412,
龙潭公园,北京,4A,116.444742,39.88584807,
北京大观园,北京,3A,116.3627356,39.87717438,
北海公园,北京,4A,116.3954796,39.93290949,
北京海洋馆,北京,4A,116.3475419,39.95027727,
北京市大栅栏商业街区,北京,3A,116.401134,39.902105,
首都博物馆,北京,4A,116.3488218,39.912174,
北京月坛公园,北京,3A,116.3588744,39.92213191,
北京市宣南文化博物馆,北京,3A,116.3715396,39.89871834,
北京市古代钱币展览馆,北京,3A,116.386005,39.95599201,
北京湖广会馆大戏楼,北京,3A,116.390834,39.89505208,
景山公园,北京,4A,116.402818,39.93227005,
恭王府,北京,5A,116.3925993,39.94338117,
宋庆龄故居,北京,3A,116.3895767,39.95200458,
北京动物园,北京,4A,116.343376,39.94773508,
北京天文馆,北京,4A,116.3432075,39.94327275,
中国地质博物馆,北京,3A,116.3786534,39.92951783,
历代帝王庙,北京,2A,116.373977,39.93072904,
什刹海风景区,北京,4A,116.391128,39.947583,
北京老舍茶馆,北京,3A,116.399655,39.906059,
陶然亭公园,北京,4A,116.388442,39.88066,
金中都公园,北京,3A,116.356383,39.877073,
北京市宣武艺园,北京,3A,116.365768,39.900955,
将府公园,北京,3A,116.512074,39.982214,
庆丰公园,北京,3A,116.4712072,39.9086682,
中国藏学研究中心西藏文化博物馆,北京,3A,116.421116,39.995564,
圣露庄园,北京,3A,116.494174,40.052333,
京城梨园,北京,3A,116.55747,39.939721,
北京市朝阳区元大都城垣遗址公园,北京,4A,116.409246,39.982403,
蟹岛绿色生态农庄,北京,4A,116.554475,40.025529,
古塔公园,北京,3A,116.541838,39.8849241,
四得公园,北京,3A,116.480987,39.977874,
北小河公园,北京,3A,116.461515,40.01089307,
北京陶瓷艺术馆,北京,3A,116.482754,39.861614,
北京市朝阳区大望京公园,北京,3A,116.501132,40.002958,
北京蓝调庄园,北京,3A,116.614759,39.971582,
红领巾公园,北京,3A,116.498608,39.9319,
斯普瑞斯奧特萊斯,北京,3A,116.6029404,40.01784385,
北京市奥林匹克公园,北京,5A,116.399206,39.999245,
朝阳公园,北京,4A,116.489233,39.949861,
北京欢乐谷,北京,4A,116.501366,39.87384806,
北京中国紫檀博物馆,北京,4A,116.532472,39.916944,
白鹿公园,北京,3A,116.560838,39.884316,
北京市朝阳区日坛公园,北京,3A,116.450437,39.921342,
兴隆公园,北京,3A,116.540303,39.919156,
北京蓝色港湾,北京,3A,116.483523,39.955319,
团结湖公园,北京,3A,116.471053,39.931586,
世界公园,北京,4A,116.293994,39.816772,
青龙湖公园,北京,3A,116.293994,39.816772,
万芳亭公园,北京,2A,116.382511,39.864933,
丰台花园,北京,2A,116.292561,39.870093,
北京园博园,北京,4A,116.197194,39.881733,
中国园林博物馆,北京,4A,116.183773,39.885338,
莲花池公园,北京,2A,116.319451,39.8983,
世界花卉大观园,北京,4A,116.359769,39.840957,
南宫旅游景区,北京,4A,116.159462,39.801509,
中国人民抗日战争纪念馆,北京,4A,116.232474,39.857753,
北京汽车博物馆,北京,4A,116.308469,39.834959,
北京市丰台区北宫国家森林公园管理处,北京,4A,116.12471,39.871839,
抗日战争雕塑园,北京,3A,116.233079,39.855566,
天津盘山风景名胜区,天津,5A,117.288913,40.102982,
天津古文化街旅游区（津门故里）,天津,5A,117.199184,39.149532,
天津周恩来邓颖超纪念馆,天津,4A,117.17134,39.100099,
平津战役纪念馆景区,天津,4A,117.153464,39.175123,
天津水上公园景区,天津,4A,117.174282,39.09454,
天津蓟州区独乐寺景区,天津,4A,117.409625,40.051476,
石家大院景区,天津,4A,117.0169773,39.14123946,
天津泰达航母主题公园景区,天津,4A,117.820941,39.162358,
“天津之眼”摩天轮,天津,4A,117.193047,39.159697,
大沽口炮台遗址博物馆景区,天津,4A,117.716071,38.983732,
天山海世界米立方水上乐园,天津,4A,117.442537,38.933349,
天津东疆湾景区,天津,4A,117.832457,39.013278,
天津方特欢乐世界景区,天津,4A,117.74575,39.160382,
天津天塔湖风景区,天津,4A,117.188361,39.098582,
天津市河北区北宁公园景区,天津,4A,117.221004,39.175574,
精武门·中华武林园,天津,4A,117.138846,39.035062,
萨马兰奇纪念馆景区,天津,4A,117.090861,38.974599,
杨柳青庄园景区,天津,4A,116.980184,39.16151,
天津黄崖关长城风景游览区,天津,4A,117.455599,40.254002,
天士力大健康城景区,天津,4A,117.221391,39.215664,
仁爱团泊湖国际休闲博览园景区,天津,4A,117.164821,38.910805,
天津市河北区大悲禅院景区,天津,4A,117.197214,39.161493,
天津光合谷旅游度假区,天津,4A,117.172806,38.894874,
水高庄园景区,天津,4A,116.939546,39.095138,
天津南湖绿博园景区,天津,4A,117.137101,39.341121,
天津金街文化旅游区,天津,4A,117.199184,39.149532,
国家海洋博物馆,天津,4A,117.801768,39.112442,
天津热带植物观光园景区,天津,4A,117.101183,39.144264,
天津海河意式风情区,天津,4A,117.204183,39.140575,
天津海昌极地海洋公园景区,天津,4A,117.668413,39.01542,
天津市蓟州区梨木台景区,天津,4A,117.550008,40.211406,
天津欢乐谷景区,天津,4A,117.482987,39.193967,
五大道文化旅游区,天津,4A,117.209997,39.116392,
津城静园,天津,3A,117.195893,39.128964,
津溪桃园,天津,3A,116.948355,39.244395,
西沽公园,天津,3A,117.18165,39.179597,
天津邮政博物馆,天津,3A,117.217283,39.133665,
齐心庄园景区,天津,3A,117.391099,39.347194,
八仙山国家级自然保护区,天津,3A,117.564887,40.159292,
民俗博物馆（天后宫）,天津,3A,117.199081,39.148467,
万源龙顺度假庄园,天津,3A,117.099513,39.266302,
东丽湖自然艺苑景区,天津,3A,117.483562,39.175877,
滨海茶淀葡萄科技园,天津,3A,117.736278,39.286157,
天津瓷房子,天津,3A,117.208899,39.130711,
天津峰山药王古寺,天津,3A,117.223902,39.004368,
桂发祥十八街麻花文化馆,天津,3A,117.253272,39.069164,
元古奇石林风景区,天津,3A,117.537119,40.100099,
北方江南景区,天津,3A,117.38586,39.918128,
蓟洲国际度假旅游区,天津,3A,117.387705,40.120193,
天津利顺德大饭店,天津,3A,117.222823,39.126938,
估衣街,天津,3A,117.193102,39.152224,
天津大港奥林匹克博物馆,天津,3A,117.553826,38.938244,
天津凌奥创意产业园,天津,3A,117.178281,39.071444,
曹禺故居纪念馆（曹禺剧院）,天津,3A,117.207525,39.142493,
南普公园,天津,3A,117.190291,39.190651,
蓟州溶洞,天津,3A,117.3846255,40.13654665,
天津智利风情园,天津,3A,117.3125304,40.07768511,
小穿乡野公园,天津,3A,117.5491122,40.10672404,
郭家沟景区,天津,3A,117.4917966,40.19594316,
九龙山国家森林公园,天津,3A,117.5172977,40.15453342,
戏剧博物馆（广东会馆）,天津,3A,117.1885347,39.14699791,
天津市老城博物馆,天津,3A,117.1896784,39.14756557,
天津科学技术馆,天津,3A,117.2246285,39.09330802,
义聚永酒文化博物馆,天津,3A,117.820423,39.3060621,
天津音乐街,天津,3A,117.2211429,39.1218344,
小站练兵园,天津,3A,117.4377252,38.92555916,
曹家花园,天津,3A,117.1965795,39.16806524,
天津杨柳青木版年画博物馆,天津,3A,117.2045347,39.10025096,
西双塘民俗风景区,天津,3A,116.89877,38.86958813,
盐坨公园,天津,3A,117.2134447,39.18405633,
紫云水岸风景区,天津,3A,117.5778782,40.08992797,
天津梁启超纪念馆,天津,3A,117.2061458,39.14287442,
小白楼1902欧式风情街,天津,3A,117.2232162,39.12383816,
李叔同故居纪念馆,天津,3A,117.2030289,39.15052654,
天津觉悟社纪念馆,天津,3A,117.2026765,39.16550077,
时代记忆纪念馆,天津,3A,117.50235,38.98255813,
天津一二·九抗日救亡运动纪念馆,天津,2A,117.1976822,39.05948656,
安家大院藏珍馆,天津,2A,117.0164511,39.14164234,
耳闸公园,天津,2A,117.1903078,39.16530363,
天津图书大厦,天津,2A,117.2267131,39.11701773,
绿源生态园,天津,2A,116.81552,39.01886115,
天津金家窑清真寺,天津,2A,117.2024875,39.15646664,
天津梵花陶情陶艺旅游体验馆,天津,2A,117.1225456,39.06491587,
里自沽晶宝温泉农庄,天津,2A,117.357564,39.52331011,
津酒文化园,天津,2A,117.2034475,39.16717005,
福聚兴机器厂旧址景区,天津,2A,117.189406,39.15972209,
杨柳青年画馆,天津,2A,117.015044,39.14096432,
天津伊利酸奶健康产业园工业旅游区,天津,2A,117.064327,38.96479209,
中华石园,天津,2A,117.282857,39.04897014,
平津战役天津前线指挥部旧址陈列馆,天津,2A,117.0114401,39.14143345,
中山公园,天津,2A,117.210317,39.16303649,
金汤桥会师公园,天津,2A,117.202191,39.14650007,
天津庆王府旅游景区,天津,2A,117.2144651,39.11937845,
天津市军事管制委员会和中共天津市委旧址景区（张园）,天津,2A,117.1715194,39.10190325,
九山顶自然风景区,天津,2A,117.5198879,40.22691431,
天津鼓楼,天津,2A,117.1877164,39.14731388,
天津义和团纪念馆,天津,2A,117.1646264,39.15200558,
西柏坡纪念馆,河北,5A,113.95144,38.345586,
承德避暑山庄及周围寺庙景区,河北,5A,117.9459614,40.98747009,
山海关景区,河北,5A,119.805383,39.97626309,
清东陵,河北,5A,117.6906264,40.18098388,
野三坡景区,河北,5A,115.396635,39.66547209,
白石山景区,河北,5A,114.7091952,39.22293065,
娲皇宫,河北,5A,113.6243075,36.64728985,
广府古城旅游景区,河北,5A,114.7367272,36.70734702,
安新白洋淀景区,河北,5A,115.996445,38.94219411,
天山海世界景区,河北,4A,114.607715,38.04365576,
华北军区烈士陵园红色景区,河北,4A,114.470755,38.04977505,
苍岩山景区,河北,4A,114.178316,37.840268,
正定县隆兴寺景区,河北,4A,114.588754,38.15079606,
正定荣国府,河北,4A,114.5857484,38.15438643,
五岳寨风景旅游区,河北,4A,113.883197,38.69693506,
石家庄市灵寿县水泉溪景区,河北,4A,113.914805,38.64951503,
石家庄市灵寿秋山景区,河北,4A,114.16287,38.54745316,
嶂石岩景区,河北,4A,114.12354,37.54053702,
石家庄市赞皇县棋盘山景区,河北,4A,114.1118546,37.63423218,
平山县天桂山风景名胜区,河北,4A,113.756113,38.26615704,
平山县驼梁景区,河北,4A,113.824637,38.731097,
石家庄市华莹白鹿温泉景区,河北,4A,113.9878071,38.25585507,
石家庄市平山西苑温泉景区,河北,4A,113.988199,38.27286608,
石家庄市平山东方巨龟苑,河北,4A,114.161731,38.23170708,
平山县沕沕水景区,河北,4A,113.757424,38.20617804,
藤龙山自然风景区,河北,4A,114.097181,38.53276081,
平山县黑山大峡谷景区,河北,4A,113.5955143,38.55677901,
石家庄市佛光山景区,河北,4A,113.7545766,38.2769361,
石家庄市紫云山景区,河北,4A,113.8524416,38.22262468,
石家庄市赵县赵州桥景区,河北,4A,114.7755069,37.72821955,
国御温泉度假小镇,河北,4A,114.765995,38.03691207,
石家庄市鹿泉区抱犊寨景区,河北,4A,114.2835955,38.09424603,
石家庄市双凤山旅游区,河北,4A,114.3976723,38.02115169,
君乐宝乳业工业旅游区,河北,4A,114.574275,38.41838351,
承德市围场县塞罕坝国家森林公园,河北,4A,117.397339,42.36677892,
承德市围场县御道口草原森林风景区,河北,4A,117.189382,42.29905243,
承德市丰宁县京北第一草原景区,河北,4A,116.215567,41.48047884,
承德市滦平县金山岭长城旅游区,河北,4A,117.2521296,40.69265712,
承德市双滦区双塔山景区,河北,4A,117.8127869,40.96523128,
承德市隆化县董存瑞纪念馆,河北,4A,117.737045,41.33077889,
兴隆溶洞,河北,4A,117.4979292,40.49655247,
丰宁满族自治县大汗行宫旅游景区,河北,4A,115.9533998,41.63744268,
桥西安家沟生态旅游区,河北,4A,114.869345,40.86782394,
崇礼万龙滑雪场,河北,4A,115.4055753,40.96884902,
沽源塞外庄园,河北,4A,115.8023217,41.66023884,
张北中都原始草原度假村,河北,4A,114.7419338,41.31356246,
怀来黄龙山庄,河北,4A,115.4670751,40.50789655,
桥西大境门风景区,河北,4A,114.898801,40.85157098,
蔚县小五台·金河景区,河北,4A,114.9658325,39.95022203,
赤城温泉度假村,河北,4A,115.757829,40.90728892,
沽源沽水福源度假村,河北,4A,115.71968,41.67069385,
沽源天鹅湖旅游度假村,河北,4A,115.703862,41.7339779,
下花园鸡鸣山风景旅游区,河北,4A,115.3115997,40.47377021,
三祖圣地——黄帝城文化旅游区,河北,4A,115.422161,40.22718705,
角山景区,河北,4A,119.741096,40.05254606,
长寿山景区,河北,4A,119.746911,40.07349606,
乐岛海洋王国,河北,4A,119.7642165,39.9617586,
鸽子窝公园,河北,4A,119.5332328,39.84313227,
集发农业观光园,河北,4A,119.425776,39.82291864,
秦皇岛野生动物园,河北,4A,119.527655,39.87650999,
碧螺塔海上酒吧公园,河北,4A,119.541399,39.82668999,
联峰山景区,河北,4A,119.4774573,39.83079373,
秦皇求仙入海处,河北,4A,119.6281526,39.92044902,
新澳海底世界,河北,4A,119.570149,39.9119931,
旅游滑沙活动中心景区,河北,4A,119.320139,39.64257406,
华夏庄园景区,河北,4A,119.189209,39.73934288,
华侨城南戴河国际旅游度假区,河北,4A,119.3617928,39.7399351,
祖山景区,河北,4A,119.4642229,40.14879284,
渔岛海洋温泉景区,河北,4A,119.2947475,39.60763788,
沙雕海洋乐园,河北,4A,119.3102954,39.62563624,
遵化万佛园景区,河北,4A,117.6308357,40.19418185,
乐亭县李大钊纪念馆及故居,河北,4A,119.092161,39.3927501,
迁西县景忠山旅游区,河北,4A,118.205659,40.19878106,
迁西县青山关旅游区,河北,4A,118.528595,40.40899104,
唐山市南湖景区,河北,4A,118.164979,39.59697934,
乐亭月坨岛景区（含三岛旅游码头）,河北,4A,118.8815814,39.16395439,
唐山市曹妃甸湿地景区,河北,4A,118.455155,39.297436,
唐山开滦国家矿山公园,河北,4A,118.2052144,39.62842574,
唐山市丰南唐津运河旅游区,河北,4A,118.0839148,39.56854661,
唐山市滦县青龙山景区,河北,4A,118.451901,39.85251308,
唐山市迁安山叶口景区,河北,4A,118.5337395,39.99019233,
滦州古城景区,河北,4A,118.7644243,39.74833182,
菩提岛景区,河北,4A,118.8423508,39.14439328,
第一城,河北,4A,116.913358,39.72020106,
茗汤温泉度假村,河北,4A,116.3649211,39.16086691,
金丰农科园,河北,4A,116.7264793,39.59063757,
金钥匙家居,河北,4A,117.0275642,39.75473966,
易水湖景区,河北,4A,115.228941,39.31245106,
易县狼牙山风景区,河北,4A,115.1837473,39.13900267,
清西陵景区,河北,4A,115.351206,39.34728803,
曲阳北岳庙景区,河北,4A,114.7037063,38.6274895,
虎山风景区,河北,4A,114.570453,38.93705404,
满城汉墓景区,河北,4A,115.3084961,38.95431687,
奥润顺达节能门窗工业旅游景区,河北,4A,115.957093,39.30609762,
白沟新城和道国际箱包城旅游景区,河北,4A,116.0661743,39.15402974,
鱼谷洞景区,河北,4A,115.4184486,39.76807486,
晋察冀边区革命纪念馆,河北,4A,114.1835504,38.73812219,
直隶总督署博物馆,河北,4A,115.5039506,38.8655349,
刘伶醉景区,河北,4A,115.6599573,39.02106415,
阜平天生桥景区,河北,4A,113.8940894,38.86862669,
吴桥杂技大世界,河北,4A,116.392496,37.64795455,
东光铁佛寺,河北,4A,116.5448163,37.88205602,
衡水湖景区,河北,4A,115.660719,37.65774499,
武强年画博物馆,河北,4A,115.9875689,38.04380929,
邢台县天河山景区,河北,4A,113.808579,37.10107397,
邢台县前南峪生态旅游区,河北,4A,113.9260675,37.17011975,
内丘扁鹊庙景区,河北,4A,114.2796084,37.31705571,
邢台县太行奇峡群景区,河北,4A,113.832438,37.14356297,
临城崆山白云洞旅游区,河北,4A,114.4457316,37.47242334,
邢台县云梦山景区,河北,4A,113.9354713,37.33372816,
邢台县天梯山景区,河北,4A,114.2625652,37.11066594,
邢台县九龙峡景区,河北,4A,113.8678671,37.19245928,
邢台县紫金山,河北,4A,113.8034165,37.02619813,
丛台公园,河北,4A,114.4968369,36.62243776,
八路军129师司令部旧址,河北,4A,113.641927,36.59334948,
朝阳沟,河北,4A,113.8042186,36.9262761,
京娘湖风景区,河北,4A,113.9575117,36.90814157,
东山文化博艺园,河北,4A,114.2523123,36.71548934,
响堂山风景名胜区,河北,4A,114.176814,36.54712393,
赵苑公园,河北,4A,114.4792539,36.63027201,
长寿村,河北,4A,113.842597,37.00589094,
太行五指山旅游区,河北,4A,113.670022,36.52873695,
冀晋鲁豫革命纪念园,河北,4A,114.1835504,38.73812219,
七步沟,河北,4A,113.8816282,36.93871209,
石家庄勒泰中心旅游景区,河北,3A,114.5131801,38.05088274,
仙台山景区,河北,3A,113.8395638,38.12514616,
于家石头村,河北,3A,114.039214,37.94778806,
高远红木博览城景区,河北,3A,114.5662454,38.17390831,
周家庄农业特色观光园,河北,3A,115.124536,38.01662903,
新乐市伏羲台景区,河北,3A,114.722483,38.38770315,
承德市双桥区魁星楼景区,河北,3A,117.958131,40.96448897,
承德市丰宁县白云古洞景区,河北,3A,116.926432,41.04675796,
