序号,景点名称,地区,评分,评级,地址,评语,价格,销量,省市自治区
30,黄花城水长城,北京·北京·怀柔区,0.7,3A景区,北京市怀柔区九渡河镇西水峪,蛟龙千寻戏碧水，探古觅幽有奇观,49.9,742,北京市
31,雍和宫,北京·北京·东城区,0.76,\N,北京市雍和宫大街12号,佛光普照，巍峨壮观雍和宫,0.5,250,北京市
32,平谷桃花海,北京·北京·平谷区,0,\N,北京市平谷区挂甲峪村,京城四月，桃花纷飞,31.8,4864,北京市
33,中央电视塔,北京·北京·海淀区,0.72,4A景区,北京市海淀区西三环中路11号,登高望远，俯瞰北京城,79,1102,北京市
34,北京世界园艺博览会,北京·北京·延庆县,0,\N,北京市延庆区百泉街17号,A1级国际园艺博览会,120,9892,北京市
35,北京海洋馆,北京·北京·西城区,0.7,4A景区,北京市海淀区高粱桥斜街乙18号,奇幻海洋之旅，在帝都感受大海的魅力,175,1428,北京市
36,北京欢乐谷,北京·北京·朝阳区,0.72,4A景区,北京市朝阳区东四环小武基北路,七大主题园区带你畅享北京欢乐谷,39.9,4813,北京市
37,故宫讲解,北京·北京·故宫,0,\N,北京市东城区景山前街4号故宫博物院内,无与伦比的古代建筑杰作,75,234,北京市
38,故宫礼物,北京·北京·故宫,0,\N,北京市故宫内坤宁宫东基化门南侧故宫文化产品专卖店,来自故宫的礼物,59,180,北京市
39,北京自然博物馆,北京·北京·东城区,0.7,\N,北京市东城区（原崇文区）天桥南大街126号,打开通往自然的大门，去探索大自然的奥秘,9.8,452,北京市
40,天安门城楼,北京·北京·东城区,0.72,\N,北京市东城区天安门院内西侧,杰出的建筑艺术和特殊的政治地位为世人瞩目,59,66,北京市
41,中国国家大剧院,北京·北京·西城区,0.7,\N,北京市西城区西长安街2号,鸟蛋！北京签到地,27,154,北京市
42,北京大学,北京·北京·海淀区,0.78,\N,北京市海淀区颐和园路5号,蕴含深厚人文气息，近代高等教育的奠基者,1.9,118,北京市
43,北京大观园,北京·北京·西城区,0.76,3A景区,北京市西城区（原宣武区）南菜园街12号,红楼梦中走下来的建筑,34.9,388,北京市
44,梦幻长城球幕影院,北京·北京·延庆县,0,\N,北京市延庆县八达岭长城旅游风景区内长城博物馆旁边,融“球幕+3D+动感”于一体的娱乐影院,120,210,北京市
45,奥林匹克塔,北京·北京·朝阳区,0,\N,北京市朝阳区北五环仰山桥西1200米,错落有致的独立塔,138,2930,北京市
46,北京野生动物园,北京·北京·大兴区,0.7,4A景区,北京市大兴区一零六国道,北京郊区的一座大型自然生态动物园,122,6738,北京市
47,南锣鼓巷,北京·北京·东城区,0.76,3A景区,北京市东城区南锣鼓巷117号,也位列规划中的25片旧城保护区之中。南锣鼓巷南北走向，北起鼓楼东大街，,0.3,92,北京市
48,奥林匹克公园,北京·北京·朝阳区,0.74,5A景区,北京市朝阳区天辰东路11号,感受2008北京奥运的辉煌,30,96,北京市
49,世界公园,北京·北京·丰台区,0.7,4A景区,北京市丰台区花乡丰葆路158号,40个国家的109处著名古迹名胜微缩景点,39.9,1392,北京市
50,古北水镇,北京·北京·密云县,0,\N,北京市密云县古北口镇司马台村古北水镇,走进那个画中的小镇,140,3502,北京市
51,北京汽车博物馆,北京·北京·丰台区,0,\N,北京市丰台区南四环西路126号,感受汽车的无穷魅力，享受汽车的无限乐趣,22,660,北京市
52,孔庙,北京·北京·东城区,0.72,4A景区,北京市东城区国子监街13号,北京孔庙位于安定门内国子监街，是元、明、清三代祭祀孔子的地方。孔子曾被尊为“大成至圣先师”，故又称先师庙。现在是首都博物,0.6,66,北京市
53,蟒山国家森林公园,北京·北京·昌平区,0.7,3A景区,北京市昌平区蟒山路2号,休闲度假好去处,29.8,110,北京市
54,古北口长城,北京·北京·古北口文化文物旅游区,0.7,3A景区,北京市密云县古北口镇,长城体系、历史古迹、人文景观、军镇文化,100,296,北京市
55,前门大街,北京·北京·东城区,0.8,3A景区,北京市东城区（原崇文区）前门,北京著名商业街,90,82,北京市
56,十渡风景区,北京·北京·房山区,0.72,4A景区,北京市房山区十渡镇十渡村,远离城市喧嚣，感受自然之美,36,468,北京市
57,永定河自行车运动公园,北京·北京·大兴区,0,\N,北京市大兴区与河北省固安县交界处 永定河南岸（106国道永定河大桥南100米即到）,具有国际标准的自行车主题公园,28,40,北京市
58,南宫温泉水世界,北京·北京·南宫旅游景区,0,4A景区,北京市丰台区王佐镇南宫村长青路97号南宫文化休闲广场西侧,温泉与水世界，沐浴与戏水的有趣结合,57,282,北京市
59,长陵,北京·北京·明十三陵,0.72,\N,北京市昌平区十三陵特区明十三陵,成祖文皇帝朱棣和皇后徐氏的合葬陵寝,43.7,50,北京市
60,司马台长城,北京·北京·密云县,0.76,4A景区,北京市密云县东北部的古北口镇境内,城墙依险峻山势而筑，以奇、特、险著称于世,140,258,北京市
121,水立方嬉水乐园,北京·北京·水立方,0,\N,北京市朝阳区天辰东路11号奥林匹克公园内,魔幻水上世界，北京城永恒经典,168,222,北京市
122,老北京胡同游,北京·北京·西城区,0,\N,北京市西城区前海西街千竿胡同内什刹海古韵风情胡同游,让骆驼祥子们带你游北京,0.9,8,北京市
123,中山公园,北京·北京·东城区,0.72,4A景区,北京市东城区天安门广场中华路4号,带有纪念性的坛庙园林,0.5,6,北京市
124,恭王府大戏楼,北京·北京·西城区,0,\N,北京市西城区柳荫街甲14号,恭王府花园的第二绝,70,22,北京市
125,北京欢乐谷失重星球蹦床馆,北京·北京·朝阳区,0,\N,北京市欢乐谷游客服务中心出口商店旁特展入口,穿越到童年，不被约束放肆嗨,118,454,北京市
126,国子监,北京·北京·东城区,0.74,4A景区,北京市东城区安定门内国子监街13号,一所古代中央公办大学建筑,0.6,14,北京市
127,梨园剧场,北京·北京·西城区,0,\N,北京市西城区永安路175号前门建国饭店1楼(虎坊桥南侧),京剧艺术的殿堂，品味国粹魅力,85.8,26,北京市
128,八达岭野生动物园,北京·北京·延庆县,0.7,3A景区,北京市延庆县八达岭中心停车场对面,身临“野性天地”，感受“适者生存”,12.9,588,北京市
129,水关长城,北京·北京·延庆县,0,4A景区,北京市延庆县八达岭镇石佛寺村,地势险要，长城如苍龙穿行于悬崖峭壁之上,32,96,北京市
130,地坛公园,北京·北京·东城区,0.72,\N,北京市安定门外大街东侧,悠久历史文化的皇家坛庙,0.5,12,北京市
131,古北水镇司马台新村山水城,北京·北京·密云县,0,\N,密云区司马台新村古北水镇司马台新村63号-1山水城（古北口镇）,带给您一个惬意安宁的周末,278,72,北京市
132,老舍茶馆,北京·北京·西城区,0.7,3A景区,北京市西城区前门西大街正阳市场三号楼老舍茶馆,汇聚京剧、曲艺、杂技、变脸等特色民族艺术,0.1,10,北京市
133,富国海底世界,北京·北京·朝阳区,0.7,4A景区,北京市朝阳区三里屯工体南路工人体育场南门,利用高新技术让你与鱼类亲密接触,79,462,北京市
134,首都博物馆,北京·北京·西城区,0.72,4A景区,北京市西城区复兴门外大街16号,古老与现代并存，文明与科技兼顾,78,18,北京市
135,昭陵,北京·北京·明十三陵,0.7,\N,北京市昌平区十三陵景区,唐代具有代表性的一座帝王陵墓，被誉为“天下名陵”,43.7,22,北京市
136,朝阳公园,北京·北京·朝阳区,0.72,4A景区,北京市朝阳区农展南路1号,在闹市中寻求一份安宁,30,44,北京市
137,神路,北京·北京·明十三陵,0,\N,北京市昌平区十三陵特区明十三陵,一条通向通向明代皇帝墓寝的神秘古道,43.7,96,北京市
138,十渡拒马乐园,北京·北京·十渡风景区,0,\N,北京市近郊房山区涞宝路十渡自然风景区,集休闲娱乐、餐饮住宿于一体的综合游乐园,88,108,北京市
139,北京乔波冰雪世界,北京·北京·顺义区,0.7,\N,北京市顺义区顺安路路东6号,无论风雨雷电，四季滑雪不再是梦,160,12,北京市
140,王府井商业街,北京·北京·东城区,0.76,\N,北京市东城区东长安街北侧,北京享有金街的美誉,29.9,97,北京市
141,什刹海后海游船,北京·北京·什刹海,0,\N,北京市西城区德胜门内大街德胜桥向东100米,岸边垂柳毵毵，远山秀色如黛，风光绮丽,100,63,北京市
142,熊猫馆,北京·北京·北京动物园,0,\N,北京市西城区西直门外大街137号北京动物园内,建筑结构独特，院内熊猫憨态可掬,180,48,北京市
143,北京梵高星空艺术馆,北京·北京·东城区,0,\N,北京市东城区王府井大街新燕莎购物中心负二楼梵高星空艺术馆,1000平大型梵高光影互动乐园,50,60,北京市
144,仙西山,北京·北京·房山区,0,\N,北京市房山区十渡镇十七渡风景区,太行余脉，清水绕山麓，绿荫佑京城,38,42,北京市
145,世界花卉大观园,北京·北京·丰台区,0.7,4A景区,北京市丰台区南四环中路235号,揽天下奇花异草，聚世界经典园林,35,270,北京市
146,烟袋斜街,北京·北京·西城区,0.72,\N,北京市西城区烟袋斜街,北京同行业中的头号大烟袋了。 　,60,4,北京市
147,石景山游乐园,北京·北京·石景山区,0.7,4A景区,北京市石景山区石景山路25号,四大主题乐园，开启你的冒险之旅,2.3,226,北京市
148,十渡龙盛游乐园,北京·北京·十渡风景区,0,\N,北京市房山区十渡镇九渡村,青山野渡，百里画廊,25,96,北京市
149,周口店遗址博物馆,北京·北京·周口店北京猿人遗址,0,\N,北京市房山区周口店大街1号,远古人类，迎面而来,25,180,北京市
150,圆明园遗址公园绮春园,北京·北京·海淀区,0,\N,北京市海淀区圆明园以南,小型的水景园集锦,1.4,49,北京市
151,十渡拒马河漂流,北京·北京·十渡风景区,0,\N,北京市房山区十渡风景区内,景色秀丽，以河流宽阔、激流众多而闻名,68,16,北京市
152,周口店北京猿人遗址,北京·北京·房山区,0.7,4A景区,北京市房山区周口店大街1号,周口店遗址博物馆坐落在北京城西南房山区周口店龙骨山脚下，距北京市区约48公里。1921年至1927年，考古学家先后三次在,25,162,北京市
153,青龙湖水上游乐园,北京·北京·房山区,0,3A景区,北京市房山区青龙湖镇青龙头村,集休闲度假、生态保护于一体的水上游乐园,9.9,10,北京市
154,北京国际鲜花港,北京·北京·顺义区,0,4A景区,北京市顺义区杨镇鲜花港南路9号,感受花卉文化，徜徉花的海洋,49.9,644,北京市
155,北京·乐谷银滩景区,北京·北京·房山区,0,\N,北京市房山区三渡乐谷银滩景区,高山峡谷漂流、云端玻璃栈道、银河玻璃吊桥,36,78,北京市
156,青泉赢睿国际卡丁车馆,北京·北京·海淀区,0,\N,北京市海淀区田村北路旱河路0号青泉赢睿汽车公园内,感受激情碰撞，约吗,109,4,北京市
157,古北之光温泉,北京·北京·古北水镇,0,\N,北京市密云区古北口镇司马台村古北水镇景区内,享美食、看美景、泡温泉,198,64,北京市
158,北京古代建筑博物馆,北京·北京·东城区,0.7,\N,北京市东城区（原崇文区）先农坛内,北京旧城模型沙盘、隆福寺藻井为馆藏珍品,12,30,北京市
159,孔庙和国子监博物馆,北京·北京·东城区,0,\N,北京市东城区安定门内国子监街13号,北京孔庙和国子监博物馆开馆2004年，长期“蜗居”在孔庙和国子监内的首图、首博陆续迁出。2005年，北京市委市政府拨款2,0.6,6,北京市
160,天门山,北京·北京·密云县,0.7,\N,北京市密云县石城镇柳棵峪,观日出、看云海，赏地质奇观,25,4,北京市
161,十渡东湖港,北京·北京·房山区,0,4A景区,北京市房山区十渡镇平峪村,塞上江南景，港竹筏戏水,59,104,北京市
162,北京曲水兰亭水疗SPA,北京·北京,0,\N,北京市朝阳区通惠河畔文化产业园1070号,别具气质绿色健康养生SPA服务,329,31,北京市
163,浩泰冰上运动中心（天通苑店）,北京·北京·昌平区,0,\N,北京市昌平区立汤路186号龙德广场4楼,大型冰上运动娱乐游戏中心，让您乐享其中,45,28,北京市
164,呀路古热带植物园,北京·北京·大兴区,0,3A景区,北京市大兴区长子营镇104国道朱庄北口北行200米,走进北京的西双版纳感受夏季,50,238,北京市
165,潭柘寺,北京·北京·门头沟区,0.7,4A景区,北京市门头沟区潭柘寺镇,殿堂整齐，庄严宏伟,0.4,44,北京市
181,艾瑞得游泳健身会馆,北京·北京·通州区,0,\N,北京市通州区潞通大街191号新华联运河湾商业楼B1层,健身设施齐全，服务专业,34,42,北京市
182,玉渊潭公园,北京·北京·海淀区,0.72,4A景区,北京市海淀区西三环中路10号,春赏樱花，冬滑冰雪，家门口的公园,1.3,4,北京市
183,北京生存岛基地,北京·北京·怀柔区,0.7,3A景区,北京市怀柔县红螺东路6号,群山环抱、溪流淙淙，京郊独特的度假基地,105,28,北京市
184,古北水镇大酒店,北京·北京·密云县,0,\N,北京密云区司马台村古北水镇旅游度假风景区,古北水镇大酒店依山傍水,260,12,北京市
185,东方普罗旺斯薰衣草庄园,北京·北京·怀柔区,0,\N,北京市怀柔区青春路北环岛向西500米（慕田峪方向）,闻闻薰衣草香，尝尝普罗旺斯的烧烤,27.4,32,北京市
186,龙脉温泉,北京·北京·昌平区,0,4A景区,北京市昌平区小汤山镇龙脉温泉度假村,中国温泉之乡给你“帝王”的享受,86,48,北京市
187,八奇洞,北京·北京·门头沟区,0.7,\N,北京市门头沟区潭柘寺镇平原村,冬暧夏凉，四季流水潺潺,48,20,北京市
188,银山塔林,北京·北京·昌平区,0.7,4A景区,北京市昌平区兴寿镇西湖村下庄乡湖门村零一五县道,线条优美，明清时期“燕平八景”之一,1,43,北京市
189,北京华清温泉,北京·北京·朝阳区,0,\N,北京市朝阳区立水桥甲2号,呈现犹如贵妃出浴的浪漫与温馨,96,48,北京市
190,青龙山,北京·北京·平谷区,0.7,4A景区,北京市平谷区东高村镇,放眼望去，景色尽收眼底，让人心旷神怡,35,6,北京市
191,大兴宾馆清泉洗浴中心,北京·北京·大兴区,0,\N,北京市大兴区黄村兴丰大街三段118号大兴宾馆三层清泉洗浴,工作累了吗？泡个桑拿放松放松吧,18,52,北京市
192,北京上方山国家森林公园,北京·北京·房山区,0.7,3A景区,北京市房山区韩村河镇,南有苏杭，北有上方,27,40,北京市
193,北京艺术博物馆,北京·北京·海淀区,0.7,\N,北京市海淀区 西三环北路万寿寺内,中国传统书法、绘画作为本馆主要馆藏项目,269,65,北京市
194,家乔温泉洗浴,北京·北京·朝阳区,0,\N,北京朝阳区管庄路中润时尚资产三楼,顾客放松身心、养生健身的休闲场所,68,54,北京市
195,松杨游泳馆,北京·北京·朝阳区,0,\N,北京市朝阳区东四环北路10号院2号楼游泳馆（东风桥旁）,在水中肆意享受着流动的畅快,32,2,北京市
196,飞行家北京太空体验馆,北京·北京·顺义区,0,\N,北京市顺义区安泰大街6号院12号楼（中粮祥云小镇南区）,风中穿越的魄力，虚拟体验的畅快,228,4,北京市
197,蟹岛嘉年华,北京·北京·蟹岛绿色生态度假村,0,\N,北京市朝阳区蟹岛路1号（机场辅路中段）蟹岛国际会展中心6号馆,体验疯狂、刺激、眩目的欢乐时光,98,12,北京市
198,千灵山,北京·北京·丰台区,0,\N,北京市丰台区王佐镇西庄店村北,登顶俯瞰，全北京城之景尽收眼底,42,242,北京市
199,北京奥森17滑四季滑雪场,北京·北京,0,\N,北京市朝阳区奥森公园南园体育园（国奥村门内）,旱雪滑雪场，一年四季都能体验滑雪的乐趣,29.9,10,北京市
200,南宫蹦床乐园,北京·北京·丰台区,0,\N,北京市丰台区王佐镇南宫路9号南宫温泉庄园运动俱乐部内,给自己一个享受置空感的机会,40,12,北京市
201,八大处富斯特索·滑道,北京·北京·八大处公园,0,\N,北京市石景山区石景山八大处公园内,不锈钢槽，滑车，限速器以及刹车安全放心,58,50,北京市
202,朝阳公园勇敢者游乐园,北京·北京·朝阳公园,0,\N,北京市朝阳区农展馆南路1号,在欢乐的游戏项目中，回味童年美好回忆,29.9,87,北京市
203,十渡龙湖湾漂流,北京·北京·房山区,0,\N,北京市房山区十渡,山奇水秀，峰林叠翠、石美潭深，景致幽胜,68,51,北京市
204,古崖居,北京·北京·延庆县,0.7,3A景区,北京市延庆县张山营镇镇西5公里处,赏秋好去处,50,102,北京市
205,西山温泉,北京·北京·海淀区,0,\N,北京市海淀区丰智东路13号(永丰路与北清路十字路口往南800米路东)(朗丽兹西山花园酒店、康福瑞假日酒店(西山店)),完美演绎京城汤泉的独有魅力,158,12,北京市
206,春晖园温泉度假村,北京·北京·顺义区,0.7,\N,北京市顺义区高丽营镇于庄,北京高端温泉，近年价格越来越亲民,59.9,88,北京市
207,长城打铁花,北京·北京·延庆县,0,\N,北京市延庆县张山营镇下芦凤营村村南800米北京世界葡萄博览园内,似水涌动，钢花飞溅,140,54,北京市
208,欢乐松鼠谷,北京·北京·密云县,0,\N,北京市密云区太师屯镇东田各庄村,松鼠为主题的儿童亲子乐园,25,86,北京市
209,大运河绿岛公园,北京·北京·大运河森林公园,0,\N,北京通州区宋梁路南段大运河森林公园内,通州大型娱乐场所,99,8,北京市
210,戒台寺,北京·北京·门头沟区,0.7,4A景区,北京市门头沟区永定镇戒台寺,到戒台寺，感受辽代佛教文化,40,42,北京市
211,小汤山温泉度假区,北京·北京·昌平区,0.7,\N,北京市昌平区小汤山现代农业科技示范园内,景色宜人，环境舒适,65,12,北京市
212,温都水城,北京·北京·昌平区,0.7,4A景区,北京市昌平区北七家镇郑各庄村王府街55号,温泉健康养生，畅享水上嘉年华,128,124,北京市
213,华夏名都温泉,北京·北京·朝阳区,0,\N,北京市朝阳区北辰东路8号,中式华夏文化主题，温泉餐饮住宿高档享受,219,58,北京市
214,幻境星辰展,北京·北京·东城区,0,\N,北京市东城区崇文门新世界百货二期青春南馆1层扶梯旁,充满空洞的蓝色太空，点缀着紫色的光影，四周的镜面照映出扭曲的奇特的形状，进入艺术家所创造的科幻空间。,29.9,8,北京市
215,百花山,北京·北京·门头沟区,0.7,3A景区,北京市门头沟区清水镇百花山林场（门头沟与房山交接处）,秋色金黄枫独红，斜阳投射静悄悄,3.8,6,北京市
216,冶仙塔,北京·北京·密云县,0.7,\N,北京市密云县檀营乡檀营村冶山,密云外八景之一,48,42,北京市
217,韩国洗浴汗蒸馆,北京·北京·海淀区,0,\N,北京市海淀区四季青镇北乌嘉园西门,美容养颜，加速排除皮肤中的毒素,42,65,北京市
218,玉渡山,北京·北京·延庆县,0.7,\N,北京市延庆县张山营镇玉皇庙村东,延庆县城西北山中的玉渡山自然风景区,55,240,北京市
219,云居寺,北京·北京·房山区,0.7,4A景区,北京市房山区云居寺路大石窝镇水屯村口,蕴涵着浓郁的佛教文化特色,35,64,北京市
220,宋庆龄青少年科技文化交流中心,北京·北京,0,\N,北京市海淀区玉渊潭南路甲11号,紧紧围绕培养青少年科技创新,158,14,北京市
221,金龙建国温泉酒店温泉区,北京·北京·东城区,0,\N,东城区建国门南大街5号（建国门地铁站南）,享受未经任何处理过的温泉原水,53,35,北京市
222,KOKOMA航海主题乐园（水立方）,北京·北京·水立方游泳馆,0,\N,北京市朝阳区国家游泳中心水立方北区三层（3号门进入直梯3层即是）,孩子们梦想中的探险游乐园,120,50,北京市
223,十渡孤山寨大峡谷瀑布群,北京·北京·十渡风景区,0,\N,房山区十渡风景名胜区七渡村南,峡谷蜿蜒，山石奇异，瀑布飞鸣，景致幽美,49,30,北京市
224,灵山,北京·北京·门头沟区,0.7,\N,北京市门头沟区清水镇西北,凉风习习，心惬意,80,28,北京市
225,云岫谷游猎,北京·北京·密云县,0.7,\N,北京市密云县新城子乡遥桥峪村,国内的异域情调，一寨两国瑞丽江,299,90,北京市
226,凤凰岭,北京·北京·海淀区,0.7,4A景区,北京市海淀区苏家坨镇凤凰岭路19号,远郊的景，近郊的路，北京自然大空调,21.9,28,北京市
227,十渡蹦极俱乐部,北京·北京·十渡风景区,0,\N,北京市房山区中国房山世界地质公园十渡园区九渡十渡拒马乐园内,渡蹦极跳的选址、设计、建设都是经蹦极专家多次考核论证。其中A跳台高48米，悬挑24米，于97年5月18日正式营业。著名歌,68,2,北京市
228,警察博物馆,北京·北京·东交民巷,0,\N,北京市东城区东交民巷36号,对不起，我只是个好人,89,56,北京市
230,汉拿山汤泉国际酒店（亚运村店）,北京·北京·朝阳区,0,\N,北京市朝阳区北四环亚运村小营路2号,带来浓郁的温泉洗浴文化和超值的精神享受,129,95,北京市
231,石花洞月亮山景区,北京·北京·石花洞国家地质公园,0,\N,北京市房山区河北镇南车营村委会沿石花洞内,石花洞风景区内的综合型山庄,18,10,北京市
232,北京万达亲子动物乐园（西铁营店）,北京·北京·丰台区,0,\N,北京市丰台区西铁营中路1号,园内生活着10余种温顺动物,9.9,2,北京市
233,鲁迅博物馆,北京·北京·西城区,0.7,\N,北京市西城区阜成门内大街宫门口内二条19号,生动形象地展现了鲁迅不朽的―生,39,37,北京市
234,北京龙潭公园中心岛剧场,北京·北京·龙潭湖公园,0,\N,北京市东城区龙潭湖路8号龙潭湖公园中心岛(近夕照寺街),四周湖面环绕，周围树木茂密,0.95,93,北京市
235,失恋星空展北京坊,北京·北京·东城区,0,\N,北京市东城区北京坊西区W5号楼地下2层（B2层）,帝都潮人和文艺青年打卡的地方,39.9,6,北京市
236,万景仙沟,北京·北京·十渡风景区,0,\N,北京市房山区十渡风景区,有密林探幽、似入万景竞秀之仙境的感觉,25,85,北京市
237,鑫华池洗浴汗蒸馆,北京·北京·大兴区,0,\N,北京市大兴区黄村镇兴丰大街九十六号三段（街心公园东门对面）,休闲娱乐的优质场所,20,69,北京市
238,头号玩咖·大空间,北京·北京·海淀区,0,\N,北京市海淀区五棵松竞技主题公园,\N,29,51,北京市
239,十渡风景区老A兵团,北京·北京·十渡风景区,0,\N,北京市房山区十渡镇西庄村往西100米路左,激光CS、沙滩摩托、泡泡足球、天空环,45,88,北京市
240,中国京西皮影非遗园,北京·北京·海淀区,0,\N,北京市海淀区上庄镇白水洼路东600米（中国京西皮影非遗园,袖珍人身小志坚，担负起传承皮影艺术的责任,45,6,北京市
256,金水湖景区,北京·北京·房山区,0.7,\N,北京市房山区霞云岭乡,构成了“绿色观光走廊、红色旅游胜地”,39,55,北京市
257,《功夫传奇》演出,北京·北京·东城区,0,\N,北京东城区（原崇文区）工人文化宫幸福大街44号红剧场,瑰丽的舞台奇观，别具匠心的舞美灯光,190,92,北京市
258,天宇顺通游泳健身中心,北京·北京·房山区,0,\N,北京市房山区城关东大街4号丰源大厦B1层,专业健身，国际标准,35,70,北京市
259,玩呗城堡,北京·北京·昌平区,0,\N,北京昌平区城北街道侯家庵胡同4-29,1200平米游乐城堡,68,6,北京市
260,八旗会馆,北京·北京·古北水镇,0,\N,北京市密云区古北水镇景区内,体验满族文明与八旗特色文化,278,30,北京市
261,云龙涧,北京·北京·密云县,0.7,3A景区,北京市密云县北白岩村北,几千年的深厚文化底蕴展现在世人面前,30,70,北京市
262,权品·权金城沐浴连锁（玉泉营店）,北京·北京·丰台区,0,\N,北京市丰台区郑王坟140号,散去疲劳，大快朵颐，尽在权金城金沙国际,169,57,北京市
263,北京旅行跟拍,北京·北京,0,\N,北京市五环之内可免路费上门拍摄，如有景点门票费用需客人给摄影师报销，其他地点的路费请咨询客服,记录旅行美好瞬间,399,98,北京市
264,蓝调冰雪嘉年华,北京·北京·朝阳区,0,\N,北京市朝阳区金盏乡楼梓庄,滑雪场设施采用国际化统一标准星级化管理,108,77,北京市
265,权金城沐浴连锁金沙国际（丰益桥店）,北京·北京·丰台区,0,\N,北京市丰台区丰管路前泥洼2号,传统泰国皇家的养生之道，源自泰国,69,67,北京市
266,聚灵峡,北京·北京·门头沟区,0,\N,北京市门头沟清水镇洪水口村1号,玉石掉落的宝地,15,41,北京市
267,北京田义墓博物馆,北京·北京·石景山区,0,\N,北京石景山区翠微山脚下，模式口大街80号,宦官历史为题材的专题博物馆,70,82,北京市
